image_path,mask_path,precision,recall,f1_score,iou,mae,mse
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00036927.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00036927.png,0.9076790336536807,0.9380294248801592,0.9226046961501699,0.8563288563347038,0.030527498573064804,0.013017757795751095
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n07714571_8398.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n07714571_8398.png,0.9976270240089666,0.9896150650790693,0.9936048939684979,0.9872910623015985,0.00962160900235176,0.0030392552725970745
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_antrtrrvqoyekdhr.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_antrtrrvqoyekdhr.png,0.5478502081070944,0.8936651583950984,0.6792777523127176,0.5143229167299059,0.03433934971690178,0.017471203580498695
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n07720875_15530.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n07720875_15530.png,0.9806097887138191,0.9842953020136336,0.9824490898537974,0.9655036208036142,0.029943928122520447,0.01126180961728096
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00068675.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00068675.png,0.5809248555115162,0.9983443708610642,0.7344701751731164,0.5803657363050836,0.05888267606496811,0.030881782993674278
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_brjtnnvlghnuzhfk.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_brjtnnvlghnuzhfk.png,0.11862396214488446,0.11160714295629384,0.11500901014115703,0.06101281274795528,0.1067318245768547,0.060096375644207
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_val_00031144.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_val_00031144.png,0.7886029411807883,0.9752462743123201,0.8720496966979223,0.7731277533085077,0.07550022751092911,0.04759148880839348
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00074743.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00074743.png,0.8869153345241613,0.9708360337024734,0.926980201954868,0.8638985005845503,0.020380940288305283,0.009659571573138237
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03513137_4914.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03513137_4914.png,0.9979196816208582,0.8804564679604145,0.9355153296725777,0.8788433965279684,0.11387673020362854,0.0704905316233635
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00071730.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00071730.png,0.959311424102279,0.988178398711006,0.97353097012708,0.9484270242419583,0.008310860954225063,0.004540248308330774
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2014_train_00025243.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2014_train_00025243.png,0.030898876676713795,0.08148148216186557,0.04480736766472463,0.022916666870225692,0.05320879444479942,0.018609216436743736
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2014_train_00006370.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2014_train_00006370.png,0.9945916711738999,0.8849855630469209,0.9365928223224703,0.8807471264424931,0.016511039808392525,0.012287124060094357
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n02799071_46911.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n02799071_46911.png,0.9955641807597571,0.9787408013088378,0.9870808142885861,0.974491180462022,0.010621652007102966,0.003978936932981014
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n01860187_1718.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n01860187_1718.png,0.6933823529456855,0.9673779236773209,0.8077779797119474,0.6775398764236594,0.12333638221025467,0.09760546684265137
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n04392985_4980.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n04392985_4980.png,0.9865333605389404,0.9855279249901033,0.9860303871673132,0.9724456958975776,0.03247633948922157,0.006479683797806501
