image_path,mask_path,precision,recall,f1_score,iou,mae,mse
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00036927.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00036927.png,0.5401149712686799,0.9634418189940508,0.69218451759958,0.5292676953335962,0.11808811873197556,0.07285156100988388
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n07714571_8398.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n07714571_8398.png,0.9804049640760875,0.8313486568840854,0.8997452475551586,0.8177608281147132,0.1440579742193222,0.06642059981822968
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_antrtrrvqoyekdhr.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_antrtrrvqoyekdhr.png,0.2024752475642339,0.9253393665327286,0.3322502623485682,0.19922065274236628,0.13787296414375305,0.06381471455097198
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n07720875_15530.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n07720875_15530.png,0.9529144587440891,0.8448322147671835,0.8956243387849893,0.8109779667592968,0.12707382440567017,0.06287866085767746
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00068675.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00068675.png,0.3052443992030233,0.9925496688747889,0.4669003526246072,0.30454660911088277,0.23346123099327087,0.11296158283948898
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_brjtnnvlghnuzhfk.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_brjtnnvlghnuzhfk.png,0.23388931011243785,0.688616071463324,0.3491794706992575,0.21151868360605008,0.1891338974237442,0.09576147794723511
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_val_00031144.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_val_00031144.png,0.7373891001333995,0.7347815104891442,0.7360830138851604,0.5823823823907431,0.15041421353816986,0.07881325483322144
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00074743.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00074743.png,0.4972160356627385,0.5787427090357263,0.5348907290893672,0.36508585448221237,0.10553930699825287,0.052334628999233246
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03513137_4914.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03513137_4914.png,0.9414220119668648,0.5399409464564684,0.686276519811904,0.5223903644261705,0.4194260239601135,0.299384742975235
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00071730.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00071730.png,0.7542857142957435,0.9930145083292308,0.8573416922351397,0.7503045067092853,0.06460662186145782,0.02498874068260193
